id,kind,process_ru,process_en,question_ru,question_en,levels,zones,days
DEM01,violation,Гостевая зона,Guest Area,"(D1, D2) Мусорные баки у входа закрыты и не переполнены","(D1, D2) Waste bins outside the entrance are closed and not overflowing",D1;D2,facade,7
DEM02,violation,Гостевая зона,Guest Area,"(D1) На стекле и ручках входной двери нет следов рук, пыли и разводов","(D1) Entrance door glass and handles show no visible smudges, dust, or marks",D1,"facade,dining",3
DEM03,violation,Гостевая зона,Guest Area,"(D1, D2) Столы и стулья в зале чистые и без видимых повреждений","(D1, D2) Dining tables and chairs are clean and free of visible damage",D1;D2,dining,5
DEM04,violation,Гостевая зона,Guest Area,(D2) Меню-борды и ценники соответствуют действующему предложению,(D2) Menu boards and price displays match the current offer,D2,dining,10
DEM05,violation,Работа кухни,Kitchen Operations,"(D1, D2, D3) Продукты с истёкшим сроком годности не хранятся и не идут в производство","(D1, D2, D3) Products past their shelf life are not stored or used in production",D1;D2;D3,"kitchen,storage",1
DEM06,violation,Работа кухни,Kitchen Operations,"(D1, D2) Рабочие поверхности и доски обрабатываются между разными продуктами","(D1, D2) Work surfaces and cutting boards are sanitized between different food types",D1;D2,kitchen,3
DEM07,violation,Хранение и маркировка,Storage & Labelling,"(D1, D2) Сухие продукты хранятся не ниже 15 см от пола и не вплотную к стенам","(D1, D2) Dry goods are stored at least 15 cm off the floor and away from walls",D1;D2,storage,7
DEM08,violation,Хранение и маркировка,Storage & Labelling,(D1) На вскрытых упаковках проставлена дата вскрытия,(D1) Opened containers are labeled with the date they were opened,D1,storage,3
DEM09,violation,Персонал и гигиена,Staff & Hygiene,"(D1, D2) Форма персонала чистая и надета правильно в течение смены","(D1, D2) Staff uniforms are clean and worn correctly during the shift",D1;D2,staff,5
DEM10,violation,Персонал и гигиена,Staff & Hygiene,"(D1, D2) У раковины для мытья рук есть мыло, бумажные полотенца и горячая вода","(D1, D2) The handwashing sink is stocked with soap, paper towels, and hot water",D1;D2,"staff,kitchen",3
